osm_id,code,fclass,name,centroid_x,centroid_y,AirQuality
7742924,5114,secondary,Strada Frunzi?ului,23.577,46.752,3
7851204,5122,residential,Strada Ion Mincu,23.593,46.761,1
7851893,5113,primary,Calea Turzii,23.598,46.756,4
7926639,5122,residential,Strada Rapsodiei,23.58,46.752,1
7926735,5122,residential,Strada Rapsodiei,23.581,46.753,1
7926873,5141,service,,23.579,46.752,2
7926931,5153,footway,,23.578,46.753,1
7927518,5122,residential,Strada Lunii,23.584,46.753,1
7932117,5122,residential,Strada Zorilor,23.579,46.754,1
7932203,5122,residential,Strada Viilor,23.583,46.756,1
7932352,5122,residential,Strada Louis Pasteur,23.58,46.756,1
7932462,5122,residential,Strada Ion Creang?,23.586,46.764,1
7932712,5114,secondary,Strada Avram Iancu,23.589,46.766,3
7933104,5124,pedestrian,Strada Mihail Kog?lniceanu,23.591,46.767,1
7933127,5124,pedestrian,Strada Emmanuel de Martonne,23.592,46.768,1
7933408,5122,residential,Strada Victor Babe?,23.585,46.765,1
7933774,5141,service,Pia?a Lucian Blaga,23.586,46.767,2
7933944,5114,secondary,Strada Republicii,23.587,46.767,3
7934003,5122,residential,Strada Gheorghe ?incai,23.586,46.768,1
7934417,5115,tertiary,Strada Republicii,23.587,46.766,3
7934573,5122,residential,Strada Cire?ilor,23.59,46.758,1
7934741,5114,secondary,Strada Izlazului,23.558,46.755,3
7934902,5114,secondary,Strada Plopilor,23.556,46.761,3
7934957,5114,secondary,Splaiul Independen?ei,23.564,46.765,3
7935013,5114,secondary,Podul Garibaldi,23.569,46.768,3
7935060,5115,tertiary,Pia?a 14 Iulie,23.567,46.771,3
7935354,5122,residential,Strada Balzac,23.559,46.77,1
7935507,5115,tertiary,Strada Uzinei Electrice,23.57,46.767,3
7936303,5113,primary,Pia?a ?tefan cel Mare,23.598,46.768,4
7936314,5113,primary,Pia?a ?tefan cel Mare,23.597,46.77,4
7936346,5113,primary,Strada Posada,23.598,46.768,4
7936457,5113,primary,Pia?a Avram Iancu,23.597,46.771,4
7936613,5113,primary,Pia?a ?tefan cel Mare,23.599,46.769,4
7952748,5122,residential,Strada Traian Groz?vescu,23.566,46.772,1
7952766,5114,secondary,Strada General Eremia Grigorescu,23.568,46.773,3
7976448,5114,secondary,Strada Cuza Vod?,23.595,46.773,3
7976483,5114,secondary,Strada Ion Popescu Voite?ti,23.591,46.775,3
7976486,5114,secondary,Pia?a Mihai Viteazu,23.588,46.774,3
7976495,5114,secondary,Pia?a Mihai Viteazu,23.59,46.776,3
7976555,5114,secondary,Strada Ion Popescu Voite?ti,23.59,46.776,3
7976556,5114,secondary,Strada Dacia,23.588,46.775,3
7976586,5122,residential,Pia?a Mihai Viteazu,23.59,46.775,1
7976593,5114,secondary,Strada George Bari?iu,23.588,46.773,3
7976631,5141,service,Strada Emil Isac,23.584,46.772,2
8028395,5113,primary,Calea Turzii,23.596,46.756,4
8028417,5133,primary_link,,23.596,46.756,4
8028419,5134,secondary_link,,23.596,46.756,3
8028433,5113,primary,,23.598,46.768,4
8028548,5122,residential,Strada Lunii,23.584,46.754,1
10508024,5113,primary,Strada Napoca,23.588,46.768,4
10510907,5114,secondary,Strada Observatorului,23.577,46.753,3
10510908,5114,secondary,Strada Observatorului,23.585,46.754,3
10510909,5114,secondary,,23.584,46.754,3
10511435,5122,residential,Strada General Traian Mo?oiu,23.603,46.77,1
10511797,5113,primary,Calea Doroban?ilor,23.598,46.771,4
10511851,5122,residential,Strada Aurel Suciu,23.607,46.772,1
10529189,5113,primary,Calea Turzii,23.599,46.767,4
13338763,5114,secondary,Strada F?getului,23.591,46.738,3
13340782,5114,secondary,Strada Prim?verii,23.557,46.755,3
13341852,5122,residential,Strada Ilie M?celaru,23.573,46.766,1
13342765,5113,primary,Calea M?n??tur,23.572,46.763,4
13344888,5113,primary,Pia?a M?r??ti,23.615,46.778,4
13345555,5113,primary,Bulevardul 21 Decembrie 1989,23.613,46.778,4
13347875,5113,primary,Strada Memorandumului,23.587,46.77,4
13349660,5113,primary,Calea M?n??tur,23.57,46.762,4
13349775,5113,primary,Calea M?n??tur,23.558,46.76,4
13354411,5114,secondary,Strada Plopilor,23.557,46.761,3
13354927,5114,secondary,Strada Plopilor,23.557,46.761,3
13355554,5114,secondary,Strada Prim?verii,23.557,46.76,3
13355893,5113,primary,Calea Flore?ti,23.555,46.76,4
13357443,5113,primary,Calea Flore?ti,23.542,46.757,4
13867092,5122,residential,Strada Ciobanului,23.548,46.757,1
16147947,5114,secondary,Strada Bucium,23.544,46.752,3
16147959,5133,primary_link,,23.62,46.779,4
16147962,5114,secondary,Strada Unirii,23.629,46.768,3
23287428,5114,secondary,Bulevardul Nicolae Titulescu,23.603,46.768,3
23287517,5114,secondary,Strada Constantin Brâncu?i,23.601,46.768,3
23582606,5113,primary,Bulevardul 21 Decembrie 1989,23.594,46.772,4
23582624,5113,primary,Strada Aurel Vlaicu,23.636,46.782,4
23784856,5115,tertiary,Strada Trifoiului,23.607,46.753,3
23784861,5114,secondary,Strada George Co?buc,23.576,46.765,3
23892970,5141,service,,23.591,46.756,2
23892988,5141,service,,23.593,46.757,2
23892995,5141,service,,23.593,46.756,2
23892997,5122,residential,Strada Rene Descartes,23.591,46.757,1
23893000,5141,service,,23.59,46.756,2
23893005,5141,service,,23.591,46.757,2
23893012,5122,residential,Strada Ceahl?u,23.588,46.758,1
23893146,5122,residential,Strada Cire?ilor,23.584,46.758,1
23893151,5122,residential,Strada Cire?ilor,23.588,46.757,1
23893154,5122,residential,Strada Caraiman,23.59,46.757,1
23893166,5122,residential,Strada Caisului,23.586,46.756,1
23893169,5122,residential,Strada Caisului,23.585,46.756,1
23893226,5122,residential,Strada Viilor,23.581,46.758,1
23893252,5122,residential,Strada Turturicii,23.582,46.756,1
23893258,5141,service,,23.579,46.755,2
23893261,5122,residential,Strada Trasc?ului,23.58,46.757,1
23893262,5141,service,,23.581,46.757,2
23893687,5122,residential,Strada Emil Isac,23.585,46.77,1
23893689,5122,residential,Strada Vasile Alecsandri,23.584,46.769,1
23893728,5123,living_street,Strada Inocen?iu Micu Klein,23.589,46.768,1
23893754,5122,residential,Strada Ion C. Br?tianu,23.592,46.768,1
23893810,5113,primary,Bulevardul Eroilor,23.593,46.77,4
23893831,5123,living_street,Strada Hermann Oberth,23.593,46.769,1
23893843,5124,pedestrian,Strada Matei Corvin,23.588,46.771,1
23893975,5113,primary,Strada Regele Ferdinand,23.588,46.774,4
23893976,5113,primary,Strada Horea,23.587,46.775,4
23893983,5113,primary,Strada Horea,23.588,46.774,4
23894006,5113,primary,Pia?a G?rii,23.585,46.784,4
23894010,5113,primary,Podul Locomotivei,23.582,46.784,4
23894012,5141,service,,23.587,46.784,2
23894014,5114,secondary,Pia?a G?rii,23.588,46.784,3
