osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,Air mark,Air,centroid_x,centroid_y
"7742924",5114,secondary,Strada Frunzi?ului,,F,50,0,F,F,2,1,23.577,46.752
"7851204",5122,residential,Strada Ion Mincu,,B,50,0,F,F,1,1,23.593,46.761
"7851893",5113,primary,Calea Turzii,DN1,B,60,0,F,F,3,2,23.598,46.756
"7926639",5122,residential,Strada Rapsodiei,,F,50,0,F,F,1,1,23.580,46.752
"7926735",5122,residential,Strada Rapsodiei,,F,30,0,F,F,1,1,23.581,46.753
"7926873",5141,service,,,B,50,0,F,F,1,1,23.579,46.752
"7926931",5153,footway,,,B,0,0,F,F,1,1,23.578,46.753
"7927518",5122,residential,Strada Lunii,,B,50,0,F,F,1,1,23.584,46.753
"7932117",5122,residential,Strada Zorilor,,B,50,0,F,F,1,1,23.579,46.754
"7932203",5122,residential,Strada Viilor,,B,50,0,F,F,1,1,23.583,46.756
"7932352",5122,residential,Strada Louis Pasteur,,B,50,0,F,F,1,1,23.580,46.756
"7932462",5122,residential,Strada Ion Creang?,,F,50,0,F,F,1,1,23.586,46.764
"7932712",5114,secondary,Strada Avram Iancu,,F,50,0,F,F,2,1,23.589,46.766
"7933104",5124,pedestrian,Strada Mihail Kog?lniceanu,,B,0,0,F,F,1,1,23.591,46.767
"7933127",5124,pedestrian,Strada Emmanuel de Martonne,,B,0,0,F,F,1,1,23.592,46.768
"7933408",5122,residential,Strada Victor Babe?,,F,50,0,F,F,1,1,23.585,46.765
"7933774",5141,service,Pia?a Lucian Blaga,,F,0,0,F,F,1,1,23.586,46.767
"7933944",5114,secondary,Strada Republicii,,F,50,0,F,F,2,1,23.587,46.767
"7934003",5122,residential,Strada Gheorghe ?incai,,F,50,0,F,F,1,1,23.586,46.768
"7934417",5115,tertiary,Strada Republicii,,B,50,0,F,F,1,1,23.587,46.766
"7934573",5122,residential,Strada Cire?ilor,,F,50,0,F,F,1,1,23.590,46.758
"7934741",5114,secondary,Strada Izlazului,,B,50,0,F,F,2,1,23.558,46.755
"7934902",5114,secondary,Strada Plopilor,,B,50,0,F,F,2,1,23.556,46.761
"7934957",5114,secondary,Splaiul Independen?ei,,B,0,0,F,F,2,1,23.564,46.765
"7935013",5114,secondary,Podul Garibaldi,,B,50,0,F,F,2,1,23.569,46.768
"7935060",5115,tertiary,Pia?a 14 Iulie,,F,50,0,F,F,1,1,23.567,46.771
"7935354",5122,residential,Strada Balzac,,F,50,0,F,F,1,1,23.559,46.770
"7935507",5115,tertiary,Strada Uzinei Electrice,,B,50,0,F,F,1,1,23.570,46.767
